,eleve,note,groupe,quizz
0,eleve0,"71,43 %",Unknown,td1
1,eleve1,100 %,Unknown,td1
2,eleve4,"71,43 %",Unknown,td1
3,eleve6,"42,86 %",Unknown,td1
4,eleve8,"57,14 %",Unknown,td1
5,eleve14,"28,57 %",Unknown,td1
6,eleve19,"57,14 %",Unknown,td1
7,eleve22,"85,71 %",Unknown,td1
8,eleve23,"57,14 %",Unknown,td1
9,eleve25,"71,43 %",Unknown,td1
10,eleve29,100 %,Unknown,td1
11,eleve38,"71,43 %",Unknown,td1
12,eleve39,"57,14 %",Unknown,td1
13,eleve43,"57,14 %",Unknown,td1
14,eleve44,"71,43 %",Unknown,td1
15,eleve49,"57,14 %",Unknown,td1
16,eleve52,"85,71 %",Unknown,td1
17,eleve53,"57,14 %",Unknown,td1
18,eleve56,"85,71 %",Unknown,td1
19,eleve58,"42,86 %",Unknown,td1
20,eleve59,"71,43 %",Unknown,td1
21,eleve60,"57,14 %",Unknown,td1
22,eleve61,"42,86 %",Unknown,td1
23,eleve62,"57,14 %",Unknown,td1
24,eleve63,"71,43 %",Unknown,td1
25,eleve64,"57,14 %",Unknown,td1
26,eleve67,"85,71 %",Unknown,td1
27,eleve69,"57,14 %",Unknown,td1
28,eleve73,"28,57 %",Unknown,td1
29,eleve76,"85,71 %",Unknown,td1
30,eleve74,"85,71 %",Unknown,td1
31,eleve78,"71,43 %",Unknown,td1
32,eleve79,"71,43 %",Unknown,td1
33,eleve81,"71,43 %",Unknown,td1
34,eleve83,"57,14 %",Unknown,td1
35,eleve84,"42,86 %",Unknown,td1
36,eleve95,"85,71 %",Unknown,td1
37,eleve97,"28,57 %",Unknown,td1
38,eleve87,"71,43 %",Unknown,td1
39,eleve88,100 %,Unknown,td1
40,eleve89,"57,14 %",Unknown,td1
41,eleve90,"42,86 %",Unknown,td1
42,eleve92,"57,14 %",Unknown,td1
43,eleve93,"71,43 %",Unknown,td1
44,eleve94,"71,43 %",Unknown,td1
45,eleve98,"42,86 %",Unknown,td1
46,eleve99,"71,43 %",Unknown,td1
47,eleve112,100 %,Unknown,td1
48,eleve107,"28,57 %",Unknown,td1
49,eleve109,"42,86 %",Unknown,td1
50,eleve115,"57,14 %",Unknown,td1
51,eleve118,"85,71 %",Unknown,td1
52,eleve120,"85,71 %",Unknown,td1
53,eleve123,"42,86 %",Unknown,td1
54,eleve125,"57,14 %",Unknown,td1
55,eleve130,"71,43 %",Unknown,td1
56,eleve128,"85,71 %",Unknown,td1
57,eleve136,"85,71 %",Unknown,td1
58,eleve139,"42,86 %",Unknown,td1
59,eleve140,"71,43 %",Unknown,td1
60,eleve143,"85,71 %",Unknown,td1
61,eleve146,100 %,Unknown,td1
62,eleve149,"85,71 %",Unknown,td1
63,eleve150,"57,14 %",Unknown,td1
64,eleve151,"71,43 %",Unknown,td1
